City	Address	Floor Area	Lot Area	IMG	Price
Bulacan	"Lot 40 Block 71, Mary St., Metrogate Subd., Brgy. Lambakin, Marilao, Bulacan"	180	144	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,026,639"
Bulacan	"Lot 41 Block 66, Ph. 1-B, Town & Country North Subdivision, Marilao, Bulacan"	276		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"690,000"
Bulacan	"Lot 5 Block 3, cor. of Road Lots 2 & 3, Bulacan Agro-Industrial Subdivision, Calumpit, Bulacan"	1960		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"5,861,190"
Bulacan	"Lot 5093, Angat-Bustos Provincial Road, Brgy. Marungko, Angat, Bulacanξ(Industrialξ / Agricultural)"	4099		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"4,099,000"
Bulacan	"Lot 5515 Malanday St., Brgy. Encanto, Angat, Bulacan"	14903		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,874,539"
Bulacan	"Lot 6 Block 21, Ph. 4, Town & Country North Subdivision, Marilao, Bulacan"	130		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"325,000"
Bulacan	"Lot 6 Block 3, cor. of Road Lots 2 & 3, Bulacan Agro-Industrial Subdivision, Calumpit, Bulacan"	1733		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"5,552,540"
Bulacan	"Lot 7 Block 3, cor. of Road Lots 2 & 3, Bulacan Agro-Industrial Subdivision, Calumpit, Bulacan"	1827		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"5,853,710"
Bulacan	"Lot 8 Block 3, cor. of Road Lots 2 & 3, Bulacan Agro-Industrial Subdivision, Calumpit, Bulacan"	1908	320	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"6,047,450"
Bulacan	"Lot 8 Block 64, Ph. 1-B, Town & Country North Subdivision, Marilao, Bulacan"	420		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,050,000"
